first_name,last_name,phone,employee_id,applicant,email,account_name
Annette,Whitmore,403-632-4551,9000001,1,annette.whitmore@sl.on.ca,9FaA7
Michael,Lawson,705-684-1553,9000002,0,michael.lawson@student.sl.on.ca,7eyb5
Zara,Akhtakhanov,604-518-8002,9000003,0,zara.akhtakhanov@student.sl.on.ca,3oX34
Karina,Chichigov,780-405-1797,9000004,0,karina.chichigov@student.sl.on.ca,9ioh1
Bisultan,Kadiev,780-405-1797,9000005,1,bisultan.kadiev@sl.on.ca,9efA2
Vakha,Usamov,905-654-3001,9000006,1,vakha.usamov@sl.on.ca,2fZU2
Robert,Gould,416-794-5925,9000007,1,robert.gould@sl.on.ca,9YGH3
Michael,Green,418-690-4778,9000008,1,michael.green@sl.on.ca,5x8i9
Charles,Jones,306-846-5601,9000009,0,charles.jones@student.sl.on.ca,46z30
Vakha,Usamov,506-639-4264,9000010,1,vakha.usamov1@sl.on.ca,0ypA1
